"","A16","A64","A82","ACE","ADZ","AQV","AV5","B93","BGX","BMS","BPJ","BTK","CBB","CDP","CRF","D00","D01","D7A","D85","DE2","DJ9","E3U","E4T","EEJ","FFJ","FPP","FSK","FTC","FYB","G87","G8X","GAN","GHR","GJ3","GPM","GVM","GWF","GWU","GWW","H6C","HGG","HJX","HM9","HRA","J0A","J3M","JB1","JC0","JD5","JTZ","JX3","K3J","KKG","M03","M9R","MB8","N29","N78","NED","NK0","NND","NS2","NXT","NYW","NZA","P67","P6B","P6F","P8M","PTP","PUH","Q11","Q6D","QE2","RCU","RM0","RR8","RW0","S2J","S75","SVV","SY0","T3M","T7P","TE6","TXW","UFK","UUP","V2Q","VEK","VZ8","W2P","W2Z","W7X","WBQ","XU5","XW7","XXZ","XY6","YC6","YDK","YK2","YMD","YUT","ZBB","ZGZ","ZMM","ZT0","ZZJ","Q1C","SBR","B3Q","M05","EF6","DAQ","A05","BGQ","VDE","NAM","HU4","D76","A87","R13","G3R","CTJ","R3M","U4B","YAH","R5A","DFN","XZ8","H9A","PPB","YGY","H27","PG3"
"BPJ",6,2,0,0,0,0.5,0.5,11,5,3,0,0,6,0,6,0,5,11,0,2,2,0,2.5,0,4,11,9,8,8,6,6,9,0,0,0,0,8,2,0,1,8,10,4,6,6,2,1,0,0,11,0,6,6,4,1,6,0.5,6,0,6,5,2,6,0,0.5,0,7,0,9,0,6,0,3,0,6,0.5,6,2,0,0,6,5,9,2,0,7,6,0,0,6,6,6,6,6,1,2,4,10,0,6,7,4,5,9,6,6,0,5,6,6,7,3,5,5,1,5,5,0.5,2,0,0,5,6,9,9,0,1,6,3,3,5,5,6,0,7,0.5
"BTK",6,2,0,0,0,0.5,0.5,11,5,3,0,0,6,0,6,0,5,11,0,2,2,0,2.5,0,4,11,9,8,8,6,6,9,0,0,0,0,8,2,0,1,8,10,4,6,6,2,1,0,0,11,0,6,6,4,1,6,0.5,6,0,6,5,2,6,0,0.5,0,7,0,9,0,6,0,3,0,6,0.5,6,2,0,0,6,5,9,2,0,7,6,0,0,6,6,6,6,6,1,2,4,10,0,6,7,4,5,9,6,6,0,5,6,6,7,3,5,5,1,5,5,0.5,2,0,0,5,6,9,9,0,1,6,3,3,5,5,6,0,7,0.5
"CBB",0,8,6,6,6,6.5,5.5,17,1,3,6,6,0,6,0,6,1,5,6,8,8,6,8.5,6,2,5,3,2,2,0,0,3,6,6,6,6,2,8,6,5,2,4,2,0,0,8,7,6,6,5,6,12,0,2,5,0,6.5,0,6,0,11,4,0,6,5.5,6,1,6,3,6,0,6,3,6,0,5.5,0,4,6,6,0,1,15,8,6,1,0,6,6,0,0,0,0,0,5,8,10,4,6,0,1,2,11,3,0,0,6,11,0,0,1,3,11,1,7,1,1,5.5,8,6,6,1,0,3,15,6,7,0,9,3,11,11,0,6,13,6.5
"CDP",6,2,0,0,0,0.5,0.5,11,5,3,0,0,6,0,6,0,5,11,0,2,2,0,2.5,0,4,11,9,8,8,6,6,9,0,0,0,0,8,2,0,1,8,10,4,6,6,2,1,0,0,11,0,6,6,4,1,6,0.5,6,0,6,5,2,6,0,0.5,0,7,0,9,0,6,0,3,0,6,0.5,6,2,0,0,6,5,9,2,0,7,6,0,0,6,6,6,6,6,1,2,4,10,0,6,7,4,5,9,6,6,0,5,6,6,7,3,5,5,1,5,5,0.5,2,0,0,5,6,9,9,0,1,6,3,3,5,5,6,0,7,0.5
"CRF",0,8,6,6,6,6.5,5.5,17,1,3,6,6,0,6,0,6,1,5,6,8,8,6,8.5,6,2,5,3,2,2,0,0,3,6,6,6,6,2,8,6,5,2,4,2,0,0,8,7,6,6,5,6,12,0,2,5,0,6.5,0,6,0,11,4,0,6,5.5,6,1,6,3,6,0,6,3,6,0,5.5,0,4,6,6,0,1,15,8,6,1,0,6,6,0,0,0,0,0,5,8,10,4,6,0,1,2,11,3,0,0,6,11,0,0,1,3,11,1,7,1,1,5.5,8,6,6,1,0,3,15,6,7,0,9,3,11,11,0,6,13,6.5
"D00",6,2,0,0,0,0.5,0.5,11,5,3,0,0,6,0,6,0,5,11,0,2,2,0,2.5,0,4,11,9,8,8,6,6,9,0,0,0,0,8,2,0,1,8,10,4,6,6,2,1,0,0,11,0,6,6,4,1,6,0.5,6,0,6,5,2,6,0,0.5,0,7,0,9,0,6,0,3,0,6,0.5,6,2,0,0,6,5,9,2,0,7,6,0,0,6,6,6,6,6,1,2,4,10,0,6,7,4,5,9,6,6,0,5,6,6,7,3,5,5,1,5,5,0.5,2,0,0,5,6,9,9,0,1,6,3,3,5,5,6,0,7,0.5
"D01",1,7,5,5,5,5.5,4.5,16,0,2,5,5,1,5,1,5,0,6,5,7,7,5,7.5,5,1,6,4,3,3,1,1,4,5,5,5,5,3,7,5,4,3,5,1,1,1,7,6,5,5,6,5,11,1,1,4,1,5.5,1,5,1,10,3,1,5,4.5,5,2,5,4,5,1,5,2,5,1,4.5,1,3,5,5,1,0,14,7,5,2,1,5,5,1,1,1,1,1,4,7,9,5,5,1,2,1,10,4,1,1,5,10,1,1,2,2,10,0,6,0,0,4.5,7,5,5,0,1,4,14,5,6,1,8,2,10,10,1,5,12,5.5
"D7A",5,13,11,11,11,11.5,10.5,22,6,8,11,11,5,11,5,11,6,0,11,13,13,11,13.5,11,7,0,2,3,3,5,5,2,11,11,11,11,3,13,11,10,3,1,7,5,5,13,12,11,11,0,11,17,5,7,10,5,11.5,5,11,5,16,9,5,11,10.5,11,4,11,2,11,5,11,8,11,5,10.5,5,9,11,11,5,6,20,13,11,4,5,11,11,5,5,5,5,5,10,13,15,1,11,5,4,7,16,2,5,5,11,16,5,5,4,8,16,6,12,6,6,10.5,13,11,11,6,5,2,20,11,12,5,14,8,16,16,5,11,18,11.5
"D85",6,2,0,0,0,0.5,0.5,11,5,3,0,0,6,0,6,0,5,11,0,2,2,0,2.5,0,4,11,9,8,8,6,6,9,0,0,0,0,8,2,0,1,8,10,4,6,6,2,1,0,0,11,0,6,6,4,1,6,0.5,6,0,6,5,2,6,0,0.5,0,7,0,9,0,6,0,3,0,6,0.5,6,2,0,0,6,5,9,2,0,7,6,0,0,6,6,6,6,6,1,2,4,10,0,6,7,4,5,9,6,6,0,5,6,6,7,3,5,5,1,5,5,0.5,2,0,0,5,6,9,9,0,1,6,3,3,5,5,6,0,7,0.5
"DE2",8,0,2,2,2,1.5,2.5,9,7,5,2,2,8,2,8,2,7,13,2,0,0,2,0.5,2,6,13,11,10,10,8,8,11,2,2,2,2,10,0,2,3,10,12,6,8,8,0,1,2,2,13,2,4,8,6,3,8,1.5,8,2,8,3,4,8,2,2.5,2,9,2,11,2,8,2,5,2,8,2.5,8,4,2,2,8,7,7,0,2,9,8,2,2,8,8,8,8,8,3,0,2,12,2,8,9,6,3,11,8,8,2,3,8,8,9,5,3,7,1,7,7,2.5,0,2,2,7,8,11,7,2,1,8,1,5,3,3,8,2,5,1.5
