"","A19","A1J","AGQ","AGT","AJW","ASY","AZE","B5X","C3P","C8A","CAQ","CFR","CK7","CNS","CRM","CRN","CZE","D3H","D7G","D88","E09","E22","ED1","ETK","EV5","F32","F60","FBD","FEE","G6E","GDP","GS3","GYG","H1H","H71","H8T","HAS","HNS","HXU","J1N","JAM","JFJ","JSP","JVY","K3W","K7R","KGA","KKA","KMT","KU1","KUK","MC7","MCC","MP1","MTY","N06","N49","NA9","NCD","NE0","NG9","NQ5","NRM","NTK","NX0","P3N","PAK","Q1P","Q6C","QQ9","QZ7","R5F","R6N","RBV","RG0","RHW","RME","RRR","RT7","RZJ","S5P","S5T","S9D","SET","T7H","T81","T8Q","TDC","TXE","U1B","U8R","UCP","V3H","V9B","VVW","VZ2","W0K","W42","W86","W8A","WAB","WBA","WT8","WZV","X99","XA6","XBX","XED","XFV","XHN","XM8","XNG","XW3","XY3","XZQ","Y3C","Y4W","Y80","YDJ","YDY","YF0","YH4","YHV","YNV","YQN","Z3Q","Z4N","Z50","ZM9","ZQG","ZQU","ZRN","ZXH","ZYK","ZZS","YZF","RDQ","BUJ","C93","Q7R","ZNY","MC1","AK0","U8D","DGV","NC6","FPJ","XU0","G8F"
"E09",0,9,8,4,0,8,6,6,4,0,7,11,3,10,6,11,11,6,10,9,0,0,11,0,11,6,9,6,6,11,8,2,0,8,6,5,0,11,11,4,0,2,11,5,4,2,8,11,6,5,11,10,6,6,9,2,3,10,10,2,10,8,9,6,11,11,0,10,5,0,0,7,10,11,0,6,11,0,11,10,0,6,9,10,0,11,6,11,5,5,5,2,9,10,11,8,9,11,9,0,11,11,11,11,0,2,11,2,6,9,11,6,10,2,0,6,11,1,6,9,8,0,0,5,11,10,0,2,7,11,0,4,2,8,11,4,6,2,9,11,2,10,2,5,4,11,0,9,10
"E22",0,9,8,4,0,8,6,6,4,0,7,11,3,10,6,11,11,6,10,9,0,0,11,0,11,6,9,6,6,11,8,2,0,8,6,5,0,11,11,4,0,2,11,5,4,2,8,11,6,5,11,10,6,6,9,2,3,10,10,2,10,8,9,6,11,11,0,10,5,0,0,7,10,11,0,6,11,0,11,10,0,6,9,10,0,11,6,11,5,5,5,2,9,10,11,8,9,11,9,0,11,11,11,11,0,2,11,2,6,9,11,6,10,2,0,6,11,1,6,9,8,0,0,5,11,10,0,2,7,11,0,4,2,8,11,4,6,2,9,11,2,10,2,5,4,11,0,9,10
"ED1",11,2,3,7,11,3,5,5,7,11,4,0,14,1,5,0,0,5,1,2,11,11,0,11,0,5,2,5,17,0,3,13,11,3,5,6,11,0,0,15,11,13,0,6,15,9,3,0,5,6,0,1,5,5,2,9,14,1,1,13,1,3,2,5,0,0,11,1,6,11,11,4,1,0,11,5,0,11,0,1,11,5,2,1,11,0,5,0,16,16,16,9,2,1,0,3,2,0,2,11,0,0,0,0,11,9,0,9,5,2,0,5,1,9,11,5,0,10,5,2,3,11,11,6,0,1,11,13,18,0,11,15,13,3,0,15,5,13,2,0,9,1,13,6,7,0,11,2,1
"ETK",0,9,8,4,0,8,6,6,4,0,7,11,3,10,6,11,11,6,10,9,0,0,11,0,11,6,9,6,6,11,8,2,0,8,6,5,0,11,11,4,0,2,11,5,4,2,8,11,6,5,11,10,6,6,9,2,3,10,10,2,10,8,9,6,11,11,0,10,5,0,0,7,10,11,0,6,11,0,11,10,0,6,9,10,0,11,6,11,5,5,5,2,9,10,11,8,9,11,9,0,11,11,11,11,0,2,11,2,6,9,11,6,10,2,0,6,11,1,6,9,8,0,0,5,11,10,0,2,7,11,0,4,2,8,11,4,6,2,9,11,2,10,2,5,4,11,0,9,10
"EV5",11,2,3,7,11,3,5,5,7,11,4,0,14,1,5,0,0,5,1,2,11,11,0,11,0,5,2,5,17,0,3,13,11,3,5,6,11,0,0,15,11,13,0,6,15,9,3,0,5,6,0,1,5,5,2,9,14,1,1,13,1,3,2,5,0,0,11,1,6,11,11,4,1,0,11,5,0,11,0,1,11,5,2,1,11,0,5,0,16,16,16,9,2,1,0,3,2,0,2,11,0,0,0,0,11,9,0,9,5,2,0,5,1,9,11,5,0,10,5,2,3,11,11,6,0,1,11,13,18,0,11,15,13,3,0,15,5,13,2,0,9,1,13,6,7,0,11,2,1
"F32",6,3,2,2,6,2,0,0,2,6,1,5,9,4,0,5,5,0,4,3,6,6,5,6,5,0,3,0,12,5,2,8,6,2,0,1,6,5,5,10,6,8,5,1,10,4,2,5,0,1,5,4,0,0,3,4,9,4,4,8,4,2,3,0,5,5,6,4,1,6,6,1,4,5,6,0,5,6,5,4,6,0,3,4,6,5,0,5,11,11,11,4,3,4,5,2,3,5,3,6,5,5,5,5,6,4,5,4,0,3,5,0,4,4,6,0,5,5,0,3,2,6,6,1,5,4,6,8,13,5,6,10,8,2,5,10,0,8,3,5,4,4,8,1,2,5,6,3,4
"F60",9,0,1,5,9,1,3,3,5,9,2,2,12,1,3,2,2,3,1,0,9,9,2,9,2,3,0,3,15,2,1,11,9,1,3,4,9,2,2,13,9,11,2,4,13,7,1,2,3,4,2,1,3,3,0,7,12,1,1,11,1,1,0,3,2,2,9,1,4,9,9,2,1,2,9,3,2,9,2,1,9,3,0,1,9,2,3,2,14,14,14,7,0,1,2,1,0,2,0,9,2,2,2,2,9,7,2,7,3,0,2,3,1,7,9,3,2,8,3,0,1,9,9,4,2,1,9,11,16,2,9,13,11,1,2,13,3,11,0,2,7,1,11,4,5,2,9,0,1
"FBD",6,3,2,2,6,2,0,0,2,6,1,5,9,4,0,5,5,0,4,3,6,6,5,6,5,0,3,0,12,5,2,8,6,2,0,1,6,5,5,10,6,8,5,1,10,4,2,5,0,1,5,4,0,0,3,4,9,4,4,8,4,2,3,0,5,5,6,4,1,6,6,1,4,5,6,0,5,6,5,4,6,0,3,4,6,5,0,5,11,11,11,4,3,4,5,2,3,5,3,6,5,5,5,5,6,4,5,4,0,3,5,0,4,4,6,0,5,5,0,3,2,6,6,1,5,4,6,8,13,5,6,10,8,2,5,10,0,8,3,5,4,4,8,1,2,5,6,3,4
"FEE",6,15,14,10,6,14,12,12,10,6,13,17,3,16,12,17,17,12,16,15,6,6,17,6,17,12,15,12,0,17,14,4,6,14,12,11,6,17,17,2,6,4,17,11,2,8,14,17,12,11,17,16,12,12,15,8,3,16,16,4,16,14,15,12,17,17,6,16,11,6,6,13,16,17,6,12,17,6,17,16,6,12,15,16,6,17,12,17,1,1,1,8,15,16,17,14,15,17,15,6,17,17,17,17,6,8,17,8,12,15,17,12,16,8,6,12,17,7,12,15,14,6,6,11,17,16,6,4,1,17,6,2,4,14,17,2,12,4,15,17,8,16,4,11,10,17,6,15,16
"G6E",11,2,3,7,11,3,5,5,7,11,4,0,14,1,5,0,0,5,1,2,11,11,0,11,0,5,2,5,17,0,3,13,11,3,5,6,11,0,0,15,11,13,0,6,15,9,3,0,5,6,0,1,5,5,2,9,14,1,1,13,1,3,2,5,0,0,11,1,6,11,11,4,1,0,11,5,0,11,0,1,11,5,2,1,11,0,5,0,16,16,16,9,2,1,0,3,2,0,2,11,0,0,0,0,11,9,0,9,5,2,0,5,1,9,11,5,0,10,5,2,3,11,11,6,0,1,11,13,18,0,11,15,13,3,0,15,5,13,2,0,9,1,13,6,7,0,11,2,1
