"","AB9","AJJ","AMU","AY9","B7D","BFX","C23","CHC","CKE","D34","DSD","DUB","DWH","DY7","DYG","E1F","ERD","F06","F3C","F6V","FCZ","FF2","FKB","G0A","GC2","GEB","GKN","H7Z","HAF","HAN","JAX","JEB","JGV","JPE","JUS","JZU","K4E","K71","M19","MBS","MK3","MYQ","N3A","N67","N6Q","NCW","ND3","NK4","NR7","P4Z","P5W","P64","PN5","QD1","QZM","R7H","S0H","S64","SNZ","SYE","T01","T1B","T4Y","T91","TDD","TM1","U0H","U0J","UNT","V1C","VCT","VSX","VWW","WCK","WQE","X1J","X2X","X4C","X9J","XTG","XVF","XXM","YCU","YGN","YX3","Z6V","Z8V","ZAT","ZGA","ZVF","ZVQ","ZWP","ZZQ","FUT","KE0","QVY","N64","W90","CV9","FGN","Y15","SSD","TUE","X58","KJ2","Q0Z","K3V","YBV","WT6","HE7","M9X","X2C","HGH","ME6","T0N","G2Y","Y9Y"
"FF2",3,2,0,7,2,7,6,22,7,8,22,23,7,6,10,13,5,4,0,4,2,0,2,1,7,5,7,1,3,4,2,4,0,5,1,5,10,18,7,14,3,2,2,5,8,3,7,8,4,6,2,6,3,1,21,4,5,17,0,3,20,7,6,2,16,3,25,1,20,3,6,1,6,12,8,0,13,9,2,1,4,1,8,1,4,3,5,0,0,7,7,0,15,1,14,5,0,3,5,9,8,8,11,5,6,7,7,7,3,7,16,8,7,6,5,5,5
"FKB",1,4,2,5,0,5,8,20,9,6,20,21,9,8,8,11,3,2,2,2,4,2,0,1,5,3,9,3,5,2,4,6,2,7,1,7,8,16,5,12,1,0,4,3,6,5,9,6,6,8,0,8,5,3,19,6,3,15,2,1,18,9,8,4,14,1,23,1,18,5,8,3,8,10,6,2,11,7,4,3,2,1,10,3,2,5,7,2,2,5,5,2,13,1,12,7,2,1,7,7,10,10,9,7,8,9,9,5,1,9,14,10,9,8,7,3,7
"G0A",2,3,1,6,1,6,7,21,8,7,21,22,8,7,9,12,4,3,1,3,3,1,1,0,6,4,8,2,4,3,3,5,1,6,0,6,9,17,6,13,2,1,3,4,7,4,8,7,5,7,1,7,4,2,20,5,4,16,1,2,19,8,7,3,15,2,24,0,19,4,7,2,7,11,7,1,12,8,3,2,3,0,9,2,3,4,6,1,1,6,6,1,14,0,13,6,1,2,6,8,9,9,10,6,7,8,8,6,2,8,15,9,8,7,6,4,6
"GC2",4,9,7,0,5,0,13,15,14,1,15,16,14,13,3,6,2,3,7,3,9,7,5,6,0,2,14,8,10,3,9,11,7,12,6,12,3,11,0,7,4,5,9,2,1,10,14,1,11,13,5,13,10,8,14,11,2,10,7,4,13,14,13,9,9,4,18,6,13,10,13,8,13,5,1,7,6,2,9,8,3,6,15,8,3,10,12,7,7,0,0,7,8,6,7,12,7,4,12,2,15,15,4,12,13,14,14,0,4,14,9,15,14,13,12,2,12
"GEB",2,7,5,2,3,2,11,17,12,3,17,18,12,11,5,8,0,1,5,1,7,5,3,4,2,0,12,6,8,1,7,9,5,10,4,10,5,13,2,9,2,3,7,0,3,8,12,3,9,11,3,11,8,6,16,9,0,12,5,2,15,12,11,7,11,2,20,4,15,8,11,6,11,7,3,5,8,4,7,6,1,4,13,6,1,8,10,5,5,2,2,5,10,4,9,10,5,2,10,4,13,13,6,10,11,12,12,2,2,12,11,13,12,11,10,0,10
"GKN",10,5,7,14,9,14,1,29,0,15,29,30,0,1,17,20,12,11,7,11,5,7,9,8,14,12,0,6,4,11,5,3,7,2,8,2,17,25,14,21,10,9,5,12,15,4,0,15,3,1,9,1,4,6,28,3,12,24,7,10,27,0,1,5,23,10,32,8,27,4,1,6,1,19,15,7,20,16,5,6,11,8,1,6,11,4,2,7,7,14,14,7,22,8,21,2,7,10,2,16,1,1,18,2,1,0,0,14,10,0,23,1,0,1,2,12,2
"H7Z",4,1,1,8,3,8,5,23,6,9,23,24,6,5,11,14,6,5,1,5,1,1,3,2,8,6,6,0,2,5,1,3,1,4,2,4,11,19,8,15,4,3,1,6,9,2,6,9,3,5,3,5,2,0,22,3,6,18,1,4,21,6,5,1,17,4,26,2,21,2,5,0,5,13,9,1,14,10,1,0,5,2,7,0,5,2,4,1,1,8,8,1,16,2,15,4,1,4,4,10,7,7,12,4,5,6,6,8,4,6,17,7,6,5,4,6,4
"HAF",6,1,3,10,5,10,3,25,4,11,25,26,4,3,13,16,8,7,3,7,1,3,5,4,10,8,4,2,0,7,1,1,3,2,4,2,13,21,10,17,6,5,1,8,11,0,4,11,1,3,5,3,0,2,24,1,8,20,3,6,23,4,3,1,19,6,28,4,23,0,3,2,3,15,11,3,16,12,1,2,7,4,5,2,7,0,2,3,3,10,10,3,18,4,17,2,3,6,2,12,5,5,14,2,3,4,4,10,6,4,19,5,4,3,2,8,2
"HAN",1,6,4,3,2,3,10,18,11,4,18,19,11,10,6,9,1,0,4,0,6,4,2,3,3,1,11,5,7,0,6,8,4,9,3,9,6,14,3,10,1,2,6,1,4,7,11,4,8,10,2,10,7,5,17,8,1,13,4,1,16,11,10,6,12,1,21,3,16,7,10,5,10,8,4,4,9,5,6,5,0,3,12,5,0,7,9,4,4,3,3,4,11,3,10,9,4,1,9,5,12,12,7,9,10,11,11,3,1,11,12,12,11,10,9,1,9
"JAX",5,0,2,9,4,9,4,24,5,10,24,25,5,4,12,15,7,6,2,6,0,2,4,3,9,7,5,1,1,6,0,2,2,3,3,3,12,20,9,16,5,4,0,7,10,1,5,10,2,4,4,4,1,1,23,2,7,19,2,5,22,5,4,0,18,5,27,3,22,1,4,1,4,14,10,2,15,11,0,1,6,3,6,1,6,1,3,2,2,9,9,2,17,3,16,3,2,5,3,11,6,6,13,3,4,5,5,9,5,5,18,6,5,4,3,7,3
