"","A19","A1J","AGQ","AGT","AJW","ASY","AZE","B5X","C3P","C8A","CAQ","CFR","CK7","CNS","CRM","CRN","CZE","D3H","D7G","D88","E09","E22","ED1","ETK","EV5","F32","F60","FBD","FEE","G6E","GDP","GS3","GYG","H1H","H71","H8T","HAS","HNS","HXU","J1N","JAM","JFJ","JSP","JVY","K3W","K7R","KGA","KKA","KMT","KU1","KUK","MC7","MCC","MP1","MTY","N06","N49","NA9","NCD","NE0","NG9","NQ5","NRM","NTK","NX0","P3N","PAK","Q1P","Q6C","QQ9","QZ7","R5F","R6N","RBV","RG0","RHW","RME","RRR","RT7","RZJ","S5P","S5T","S9D","SET","T7H","T81","T8Q","TDC","TXE","U1B","U8R","UCP","V3H","V9B","VVW","VZ2","W0K","W42","W86","W8A","WAB","WBA","WT8","WZV","X99","XA6","XBX","XED","XFV","XHN","XM8","XNG","XW3","XY3","XZQ","Y3C","Y4W","Y80","YDJ","YDY","YF0","YH4","YHV","YNV","YQN","Z3Q","Z4N","Z50","ZM9","ZQG","ZQU","ZRN","ZXH","ZYK","ZZS","YZF","RDQ","BUJ","C93","Q7R","ZNY","MC1","AK0","U8D","DGV","NC6","FPJ","XU0","G8F"
"E09",35,5,11,14,7,3,9,5,9,31,4,0,5,10,1,6,10,10,3,8,0,22,1,6,5,4,3,2,2,9,10,15,5,7,6,3,36,2,6,1,33,4,10,4,54,56,7,9,8,3,1,9,11,10,6,24,38,8,10,0,4,8,5,3,8,5,10,6,5,6,13,11,10,8,3,1,4,14,9,9,2,60,9,5,7,2,2,4,28,40,9,8,9,6,6,8,6,8,5,3,5,10,6,15,38,8,2,5,9,8,3,9,3,1,21,10,9,7,1,8,8,6,8,8,8,2,2,3,1,10,11,7,3,8,6,22,8,9,14,6,1,3,33,4,7,5,34,7,3
"E22",13,27,11,8,29,19,31,27,31,9,18,22,27,32,23,28,32,32,19,30,22,0,21,28,27,18,25,20,20,31,32,7,17,29,28,25,14,24,28,21,11,18,32,26,32,34,29,31,30,19,21,31,11,32,28,2,16,30,32,22,26,30,27,19,30,27,12,28,27,28,9,33,32,30,19,23,18,8,13,31,24,38,31,17,15,24,20,26,6,18,13,14,31,28,28,30,28,30,17,19,27,32,16,7,16,30,20,27,31,30,25,31,25,23,1,32,31,29,21,30,30,16,30,30,30,24,24,25,21,32,11,15,25,30,28,0,30,31,8,28,21,25,11,18,29,27,12,29,25
"ED1",34,6,10,13,8,2,10,6,10,30,3,1,6,11,2,7,11,11,2,9,1,21,0,7,6,3,4,1,1,10,11,14,4,8,7,4,35,3,7,0,32,3,11,5,53,55,8,10,9,2,0,10,10,11,7,23,37,9,11,1,5,9,6,2,9,6,9,7,6,7,12,12,11,9,2,2,3,13,8,10,3,59,10,4,6,3,1,5,27,39,8,7,10,7,7,9,7,9,4,2,6,11,5,14,37,9,1,6,10,9,4,10,4,2,20,11,10,8,0,9,9,5,9,9,9,3,3,4,0,11,10,6,4,9,7,21,9,10,13,7,0,4,32,3,8,6,33,8,4
"ETK",41,1,17,20,1,9,3,1,3,37,10,6,1,4,5,0,4,4,9,2,6,28,7,0,1,10,3,8,8,3,4,21,11,1,0,3,42,4,0,7,39,10,4,2,60,62,1,3,2,9,7,3,17,4,0,30,44,2,4,6,2,2,1,9,2,1,16,0,1,0,19,5,4,2,9,5,10,20,15,3,4,66,3,11,13,4,8,2,34,46,15,14,3,0,0,2,0,2,11,9,1,4,12,21,44,2,8,1,3,2,3,3,3,5,27,4,3,1,7,2,2,12,2,2,2,4,4,3,7,4,17,13,3,2,0,28,2,3,20,0,7,3,39,10,1,1,40,1,3
"EV5",40,0,16,19,2,8,4,0,4,36,9,5,0,5,4,1,5,5,8,3,5,27,6,1,0,9,2,7,7,4,5,20,10,2,1,2,41,3,1,6,38,9,5,1,59,61,2,4,3,8,6,4,16,5,1,29,43,3,5,5,1,3,0,8,3,0,15,1,0,1,18,6,5,3,8,4,9,19,14,4,3,65,4,10,12,3,7,1,33,45,14,13,4,1,1,3,1,3,10,8,0,5,11,20,43,3,7,0,4,3,2,4,2,4,26,5,4,2,6,3,3,11,3,3,3,3,3,2,6,5,16,12,2,3,1,27,3,4,19,1,6,2,38,9,2,0,39,2,2
"F32",31,9,7,10,11,1,13,9,13,27,0,4,9,14,5,10,14,14,1,12,4,18,3,10,9,0,7,2,2,13,14,11,1,11,10,7,32,6,10,3,29,0,14,8,50,52,11,13,12,1,3,13,7,14,10,20,34,12,14,4,8,12,9,1,12,9,6,10,9,10,9,15,14,12,1,5,0,10,5,13,6,56,13,1,3,6,2,8,24,36,5,4,13,10,10,12,10,12,1,1,9,14,2,11,34,12,2,9,13,12,7,13,7,5,17,14,13,11,3,12,12,2,12,12,12,6,6,7,3,14,7,3,7,12,10,18,12,13,10,10,3,7,29,0,11,9,30,11,7
"F60",38,2,14,17,4,6,6,2,6,34,7,3,2,7,2,3,7,7,6,5,3,25,4,3,2,7,0,5,5,6,7,18,8,4,3,0,39,1,3,4,36,7,7,1,57,59,4,6,5,6,4,6,14,7,3,27,41,5,7,3,1,5,2,6,5,2,13,3,2,3,16,8,7,5,6,2,7,17,12,6,1,63,6,8,10,1,5,1,31,43,12,11,6,3,3,5,3,5,8,6,2,7,9,18,41,5,5,2,6,5,0,6,0,2,24,7,6,4,4,5,5,9,5,5,5,1,1,0,4,7,14,10,0,5,3,25,5,6,17,3,4,0,36,7,4,2,37,4,0
"FBD",33,7,9,12,9,1,11,7,11,29,2,2,7,12,3,8,12,12,1,10,2,20,1,8,7,2,5,0,0,11,12,13,3,9,8,5,34,4,8,1,31,2,12,6,52,54,9,11,10,1,1,11,9,12,8,22,36,10,12,2,6,10,7,1,10,7,8,8,7,8,11,13,12,10,1,3,2,12,7,11,4,58,11,3,5,4,0,6,26,38,7,6,11,8,8,10,8,10,3,1,7,12,4,13,36,10,0,7,11,10,5,11,5,3,19,12,11,9,1,10,10,4,10,10,10,4,4,5,1,12,9,5,5,10,8,20,10,11,12,8,1,5,31,2,9,7,32,9,5
"FEE",33,7,9,12,9,1,11,7,11,29,2,2,7,12,3,8,12,12,1,10,2,20,1,8,7,2,5,0,0,11,12,13,3,9,8,5,34,4,8,1,31,2,12,6,52,54,9,11,10,1,1,11,9,12,8,22,36,10,12,2,6,10,7,1,10,7,8,8,7,8,11,13,12,10,1,3,2,12,7,11,4,58,11,3,5,4,0,6,26,38,7,6,11,8,8,10,8,10,3,1,7,12,4,13,36,10,0,7,11,10,5,11,5,3,19,12,11,9,1,10,10,4,10,10,10,4,4,5,1,12,9,5,5,10,8,20,10,11,12,8,1,5,31,2,9,7,32,9,5
"G6E",44,4,20,23,2,12,0,4,0,40,13,9,4,1,8,3,1,1,12,1,9,31,10,3,4,13,6,11,11,0,1,24,14,2,3,6,45,7,3,10,42,13,1,5,63,65,2,0,1,12,10,0,20,1,3,33,47,1,1,9,5,1,4,12,1,4,19,3,4,3,22,2,1,1,12,8,13,23,18,0,7,69,0,14,16,7,11,5,37,49,18,17,0,3,3,1,3,1,14,12,4,1,15,24,47,1,11,4,0,1,6,0,6,8,30,1,0,2,10,1,1,15,1,1,1,7,7,6,10,1,20,16,6,1,3,31,1,0,23,3,10,6,42,13,2,4,43,2,6
