"","A16","A64","A82","ACE","ADZ","AQV","AV5","B93","BGX","BMS","BPJ","BTK","CBB","CDP","CRF","D00","D01","D7A","D85","DE2","DJ9","E3U","E4T","EEJ","FFJ","FPP","FSK","FTC","FYB","G87","G8X","GAN","GHR","GJ3","GPM","GVM","GWF","GWU","GWW","H6C","HGG","HJX","HM9","HRA","J0A","J3M","JB1","JC0","JD5","JTZ","JX3","K3J","KKG","M03","M9R","MB8","N29","N78","NED","NK0","NND","NS2","NXT","NYW","NZA","P67","P6B","P6F","P8M","PTP","PUH","Q11","Q6D","QE2","RCU","RM0","RR8","RW0","S2J","S75","SVV","SY0","T3M","T7P","TE6","TXW","UFK","UUP","V2Q","VEK","VZ8","W2P","W2Z","W7X","WBQ","XU5","XW7","XXZ","XY6","YC6","YDK","YK2","YMD","YUT","ZBB","ZGZ","ZMM","ZT0","ZZJ","Q1C","SBR","B3Q","M05","EF6","DAQ","A05","BGQ","VDE","NAM","HU4","D76","A87","R13","G3R","CTJ","R3M","U4B","YAH","R5A","DFN","XZ8","H9A","PPB","YGY","H27","PG3"
"DJ9",6,1,16,1,8,39,5,4,1,5,0,3,1,21,7,18,12,1,14,24,0,1,17,12,4,6,3,7,2,2,4,2,27,13,4,3,1,55,21,14,6,1,2,1,9,22,1,3,0,1,4,41,7,4,31,0,1,7,5,5,4,7,1,1,6,19,1,16,0,5,4,3,1,13,5,21,1,3,32,5,0,13,1,1,12,4,4,4,26,2,2,3,4,7,0,0,4,2,4,4,6,16,1,5,3,7,6,45,6,7,2,4,2,20,12,3,3,8,4,6,19,6,5,3,5,3,3,7,8,35,17,6,6,10,0,6
"E3U",7,2,15,2,7,38,6,5,2,6,1,2,2,20,8,17,11,2,13,23,1,0,16,11,5,7,2,8,1,1,5,3,26,12,5,2,0,54,20,13,5,2,3,2,8,21,2,4,1,0,3,40,6,5,30,1,0,6,6,6,3,6,2,0,5,18,2,15,1,6,5,2,2,12,6,20,2,4,31,6,1,12,2,2,11,5,5,5,25,3,3,2,5,8,1,1,5,3,5,5,7,15,2,6,2,8,5,44,7,8,3,3,1,19,11,4,4,7,5,5,18,7,4,4,4,4,2,8,7,34,16,5,7,9,1,5
"E4T",23,18,1,18,9,22,22,21,18,22,17,14,18,4,24,1,5,18,3,7,17,16,0,5,21,23,14,24,15,15,21,19,10,4,21,14,16,38,4,3,11,18,19,18,8,5,18,20,17,16,13,24,10,21,14,17,16,10,22,22,13,10,18,16,11,2,18,1,17,22,21,14,18,4,22,4,18,20,15,22,17,4,18,18,5,21,21,21,9,19,19,14,21,24,17,17,21,19,21,21,23,1,18,22,14,24,11,28,23,24,19,13,15,3,5,20,20,9,21,11,2,23,12,20,12,20,14,24,9,18,0,11,23,7,17,11
"EEJ",18,13,4,13,4,27,17,16,13,17,12,9,13,9,19,6,0,13,2,12,12,11,5,0,16,18,9,19,10,10,16,14,15,1,16,9,11,43,9,2,6,13,14,13,3,10,13,15,12,11,8,29,5,16,19,12,11,5,17,17,8,5,13,11,6,7,13,4,12,17,16,9,13,1,17,9,13,15,20,17,12,1,13,13,0,16,16,16,14,14,14,9,16,19,12,12,16,14,16,16,18,4,13,17,9,19,6,33,18,19,14,8,10,8,0,15,15,4,16,6,7,18,7,15,7,15,9,19,4,23,5,6,18,2,12,6
"FFJ",2,3,20,3,12,43,1,0,3,1,4,7,3,25,3,22,16,3,18,28,4,5,21,16,0,2,7,3,6,6,0,2,31,17,0,7,5,59,25,18,10,3,2,3,13,26,3,1,4,5,8,45,11,0,35,4,5,11,1,1,8,11,3,5,10,23,3,20,4,1,0,7,3,17,1,25,3,1,36,1,4,17,3,3,16,0,0,0,30,2,2,7,0,3,4,4,0,2,0,0,2,20,3,1,7,3,10,49,2,3,2,8,6,24,16,1,1,12,0,10,23,2,9,1,9,1,7,3,12,39,21,10,2,14,4,10
"FPP",0,5,22,5,14,45,1,2,5,1,6,9,5,27,1,24,18,5,20,30,6,7,23,18,2,0,9,1,8,8,2,4,33,19,2,9,7,61,27,20,12,5,4,5,15,28,5,3,6,7,10,47,13,2,37,6,7,13,1,1,10,13,5,7,12,25,5,22,6,1,2,9,5,19,1,27,5,3,38,1,6,19,5,5,18,2,2,2,32,4,4,9,2,1,6,6,2,4,2,2,0,22,5,1,9,1,12,51,0,1,4,10,8,26,18,3,3,14,2,12,25,0,11,3,11,3,9,1,14,41,23,12,0,16,6,12
"FSK",9,4,13,4,5,36,8,7,4,8,3,0,4,18,10,15,9,4,11,21,3,2,14,9,7,9,0,10,1,1,7,5,24,10,7,0,2,52,18,11,3,4,5,4,6,19,4,6,3,2,1,38,4,7,28,3,2,4,8,8,1,4,4,2,3,16,4,13,3,8,7,0,4,10,8,18,4,6,29,8,3,10,4,4,9,7,7,7,23,5,5,0,7,10,3,3,7,5,7,7,9,13,4,8,0,10,3,42,9,10,5,1,1,17,9,6,6,5,7,3,16,9,2,6,2,6,0,10,5,32,14,3,9,7,3,3
"FTC",1,6,23,6,15,46,2,3,6,2,7,10,6,28,0,25,19,6,21,31,7,8,24,19,3,1,10,0,9,9,3,5,34,20,3,10,8,62,28,21,13,6,5,6,16,29,6,4,7,8,11,48,14,3,38,7,8,14,2,2,11,14,6,8,13,26,6,23,7,2,3,10,6,20,2,28,6,4,39,2,7,20,6,6,19,3,3,3,33,5,5,10,3,0,7,7,3,5,3,3,1,23,6,2,10,0,13,52,1,0,5,11,9,27,19,4,4,15,3,13,26,1,12,4,12,4,10,0,15,42,24,13,1,17,7,13
"FYB",8,3,14,3,6,37,7,6,3,7,2,1,3,19,9,16,10,3,12,22,2,1,15,10,6,8,1,9,0,0,6,4,25,11,6,1,1,53,19,12,4,3,4,3,7,20,3,5,2,1,2,39,5,6,29,2,1,5,7,7,2,5,3,1,4,17,3,14,2,7,6,1,3,11,7,19,3,5,30,7,2,11,3,3,10,6,6,6,24,4,4,1,6,9,2,2,6,4,6,6,8,14,3,7,1,9,4,43,8,9,4,2,0,18,10,5,5,6,6,4,17,8,3,5,3,5,1,9,6,33,15,4,8,8,2,4
"G87",8,3,14,3,6,37,7,6,3,7,2,1,3,19,9,16,10,3,12,22,2,1,15,10,6,8,1,9,0,0,6,4,25,11,6,1,1,53,19,12,4,3,4,3,7,20,3,5,2,1,2,39,5,6,29,2,1,5,7,7,2,5,3,1,4,17,3,14,2,7,6,1,3,11,7,19,3,5,30,7,2,11,3,3,10,6,6,6,24,4,4,1,6,9,2,2,6,4,6,6,8,14,3,7,1,9,4,43,8,9,4,2,0,18,10,5,5,6,6,4,17,8,3,5,3,5,1,9,6,33,15,4,8,8,2,4
